Artist,Album Title,Track Title,Track Position,Duration,Producer,Remixer,Release Date,Catalog Number,Label,release_id
Céline Dion,Misled,Misled (Richie Jones Club Mix),A1,7:22,Ric Wake,Richie Jones,1994,46 77451,"550 Music, Epic",101862
Céline Dion,Misled,Misled ( History Mix),A2,6:41,Ric Wake,Marc Kinchen; MK,1994,46 77451,"550 Music, Epic",101862
Céline Dion,Misled,Misled (Album Version),A3,3:30,Ric Wake,,1994,46 77451,"550 Music, Epic",101862
Céline Dion,Misled,Misled (MK's Redirect Mix),B1,6:57,Ric Wake,Marc Kinchen; MK,1994,46 77451,"550 Music, Epic",101862
Céline Dion,Misled,Misled (MK Dub),B2,8:56,Ric Wake,Marc Kinchen; MK,1994,46 77451,"550 Music, Epic",101862
Céline Dion,It's All Coming Back To Me Now,It's All Coming Back To Me Now (Classic Paradise Mix),A1,8:12,Jim Steinman,Love To Infinity,1996,BAS 8194,"550 Music, Epic Dance",1363271
Céline Dion,It's All Coming Back To Me Now,It's All Coming Back To Me Now (Amnesia Mix),A2,7:37,Jim Steinman,Love To Infinity,1996,BAS 8194,"550 Music, Epic Dance",1363271
Céline Dion,It's All Coming Back To Me Now,It's All Coming Back To Me Now (The Moran Anthem Mix),B,14:38,Jim Steinman,Tony Moran,1996,BAS 8194,"550 Music, Epic Dance",1363271
Kylie Minogue,Confide In Me,Confide In Me (Bass Change Mix),A1,6:25,Brothers In Rhythm,Phillip Damien,1994,IM-28108-1-DJ,ä,594036
Kylie Minogue,Confide In Me,Convibe In Me (Dub),A2,8:04,Brothers In Rhythm,Phillip Damien,1994,IM-28108-1-DJ,ä,594036
Kylie Minogue,Confide In Me,Confide In Me (Damien's Confession Mix),B1,7:21,Brothers In Rhythm,Phillip Damien,1994,IM-28108-1-DJ,ä,594036
Kylie Minogue,Confide In Me,Confide In Me (In The Confessional Dub),B2,6:38,Brothers In Rhythm,Phillip Damien,1994,IM-28108-1-DJ,ä,594036
Dina Carroll,Ain't No Man,Ain't No Man (Lowmac Mix),A1,,Nigel Lowis,"CJ Mackintosh, Nigel Lowis",1992,"AMY 0001, 580001-1","A&M PM, A&M PM, A&M Records, A&M Records",258578
Dina Carroll,Ain't No Man,Ain't No Man (Master Mix),A2,,Nigel Lowis,CJ Mackintosh,1992,"AMY 0001, 580001-1","A&M PM, A&M PM, A&M Records, A&M Records",258578
Dina Carroll,Ain't No Man,Ain't No Man (Mackmaster Mix),B1,,Nigel Lowis,CJ Mackintosh,1992,"AMY 0001, 580001-1","A&M PM, A&M PM, A&M Records, A&M Records",258578
Dina Carroll,Ain't No Man,You'll Lose A Good Thing,B2,,Nigel Lowis,Nigel Lowis,1992,"AMY 0001, 580001-1","A&M PM, A&M PM, A&M Records, A&M Records",258578
Crystal Waters,Ghetto Day / What I Need,What I Need (Bad Yard Club),A,,The Basement Boys,David Morales,1994,858 959-1,"A&M PM, A&M Records",1124052
Crystal Waters,Ghetto Day / What I Need,Ghetto Day (Radio Mix),AA1,,The Basement Boys,,1994,858 959-1,"A&M PM, A&M Records",1124052
Crystal Waters,Ghetto Day / What I Need,What I Need (Basement Boys Remix),AA2,,The Basement Boys,The Basement Boys,1994,858 959-1,"A&M PM, A&M Records",1124052
Crystal Waters,What I Need (David Morales + Basement Boys Remixes) / Ghetto Day,What I Need (Bad Yard Club),A,,The Basement Boys,David Morales,1994,CWGD 12 DJ,"A&M PM, A&M Records",233121
Crystal Waters,What I Need (David Morales + Basement Boys Remixes) / Ghetto Day,What I Need  (Basement Boys Remix),B,,The Basement Boys,The Basement Boys,1994,CWGD 12 DJ,"A&M PM, A&M Records",233121
Crystal Waters,What I Need (David Morales + Basement Boys Remixes) / Ghetto Day,What I Need  (Def Version),C1,,The Basement Boys,David Morales,1994,CWGD 12 DJ,"A&M PM, A&M Records",233121
Crystal Waters,What I Need (David Morales + Basement Boys Remixes) / Ghetto Day,"Ghetto Day (12"" Master)",C2,,The Basement Boys,,1994,CWGD 12 DJ,"A&M PM, A&M Records",233121
Crystal Waters,What I Need (David Morales + Basement Boys Remixes) / Ghetto Day,What I Need (Hump),D1,,The Basement Boys,The Basement Boys,1994,CWGD 12 DJ,"A&M PM, A&M Records",233121
Crystal Waters,What I Need (David Morales + Basement Boys Remixes) / Ghetto Day,What I Need  (Original Version),D2,,The Basement Boys,,1994,CWGD 12 DJ,"A&M PM, A&M Records",233121
Ce Ce Peniston,Movin' On,Movin' On (Hard Club Mix),A1,8:00,"Dave ""Jam"" Hall",Junior Vasquez,1996,31458 1657 1,A&M Records,436392
Ce Ce Peniston,Movin' On,Movin' On (Smooth Club Mix),A2,6:18,"Dave ""Jam"" Hall",Junior Vasquez,1996,31458 1657 1,A&M Records,436392
Ce Ce Peniston,Movin' On,Movin' On (Club Dub),A3,8:00,"Dave ""Jam"" Hall",Junior Vasquez,1996,31458 1657 1,A&M Records,436392
Ce Ce Peniston,Movin' On,Movin' On (Dave Hall Hip Hop Remix),B1,4:00,"Dave ""Jam"" Hall",,1996,31458 1657 1,A&M Records,436392
Ce Ce Peniston,Movin' On,Movin' On (G.Man Slammin' Remix With Rap) (Male),B2,4:23,"Dave ""Jam"" Hall","Jorge ""G-Man"" Corante",1996,31458 1657 1,A&M Records,436392
Ce Ce Peniston,Movin' On,Movin' On (G.Man Slammin' Remix) (With Rap),B3,4:23,"Dave ""Jam"" Hall","Jorge ""G-Man"" Corante",1996,31458 1657 1,A&M Records,436392
Ce Ce Peniston,Movin' On,Movin' On (G.Man Slammin' Remix) (Without Rap),B4,4:23,"Dave ""Jam"" Hall","Jorge ""G-Man"" Corante",1996,31458 1657 1,A&M Records,436392
Ce Ce Peniston,Movin' On,Movin' On (LP Version),B5,3:46,"Dave ""Jam"" Hall",,1996,31458 1657 1,A&M Records,436392
Janet Jackson,Love Will Never Do (Without You),Love Will Never Do (Without You) (Shep's Work It Out Mix),A1,7:30,Jimmy Jam & Terry Lewis,Alan Gregorie; Shep Pettibone,1990,75021 2346 1,A&M Records,459117
Janet Jackson,Love Will Never Do (Without You),Love Will Never Do (Without You) (The Work It Out Dub),A2,4:51,Jimmy Jam & Terry Lewis,Alan Gregorie; Shep Pettibone,1990,75021 2346 1,A&M Records,459117
Janet Jackson,Love Will Never Do (Without You),"Love Will Never Do (Without You) (Work It Out 7"" With Intro)",A3,4:50,Jimmy Jam & Terry Lewis,Alan Gregorie; Shep Pettibone,1990,75021 2346 1,A&M Records,459117
Janet Jackson,Love Will Never Do (Without You),Love Will Never Do (Without You) (UK Funky Mix),B1,6:56,Jimmy Jam & Terry Lewis,CJ Mackintosh,1990,75021 2346 1,A&M Records,459117
Janet Jackson,Love Will Never Do (Without You),Love Will Never Do (Without You) (UK Funky Instrumental),B2,6:05,Jimmy Jam & Terry Lewis,CJ Mackintosh,1990,75021 2346 1,A&M Records,459117
Janet Jackson,Love Will Never Do (Without You),Love Will Never Do (Without You) (Single Version),B3,4:30,Jimmy Jam & Terry Lewis,,1990,75021 2346 1,A&M Records,459117
Janet Jackson,Black Cat,"Black Cat (Funky 12"")",A1,5:45,Jellybean Johnson; Janet Jackson,"CJ Mackintosh, Dave Dorrell",1990,75021 2348 1,A&M Records,1227044
Janet Jackson,Black Cat,"Black Cat (Funky 7"")",A2,4:41,Jellybean Johnson; Janet Jackson,"CJ Mackintosh, Dave Dorrell",1990,75021 2348 1,A&M Records,1227044
Janet Jackson,Black Cat,Black Cat (Video Mix  / Short Solo),A3,4:31,Jellybean Johnson; Janet Jackson,Michael Wagener,1990,75021 2348 1,A&M Records,1227044
Janet Jackson,Black Cat,"Black Cat (3 Snaps Up 12"")",B1,7:31,Jellybean Johnson; Janet Jackson,Vaughn Halyard,1990,75021 2348 1,A&M Records,1227044
Janet Jackson,Black Cat,"Black Cat (3 Snaps Up 7"")",B2,4:24,Jellybean Johnson; Janet Jackson,Vaughn Halyard,1990,75021 2348 1,A&M Records,1227044
Janet Jackson,Black Cat,Black Cat (3 Snaps Up Dub),B3,6:12,Jellybean Johnson; Janet Jackson,Vaughn Halyard,1990,75021 2348 1,A&M Records,1227044
Amy Grant,Every Heartbeat,"Every Heartbeat (12"" Body & Soul Mix)",A1,5:21,Brown Bannister,Mark Mazzetti,1991,75021 2361 1,A&M Records,848710
Amy Grant,Every Heartbeat,"Every Heartbeat (7"" Body & Soul Mix)",A2,3:50,Brown Bannister,Daniel Abraham,1991,75021 2361 1,A&M Records,848710
Amy Grant,Every Heartbeat,"Baby Baby (12"" Heart In Motion Mix)",B1,6:02,Keith Thomas,Daniel Abraham,1991,75021 2361 1,A&M Records,848710
Amy Grant,Every Heartbeat,"Every Heartbeat (7"" Piano Mix)",B2,3:30,Brown Bannister,Daniel Abraham,1991,75021 2361 1,A&M Records,848710
Amy Grant,Good For Me,"Good For Me (12"" So Good Mix)",A1,6:02,Keith Thomas,Daniel Abraham,1991,75021 2382 1,A&M Records,850649
Amy Grant,Good For Me,Good For Me (Dub So Good Mix),A2,5:08,Keith Thomas,Daniel Abraham,1991,75021 2382 1,A&M Records,850649
Amy Grant,Good For Me,"Good For Me (12"" You Like To Dance Mix)",B1,5:40,Keith Thomas,Daniel Abraham,1991,75021 2382 1,A&M Records,850649
Amy Grant,Good For Me,Good For Me (You Like To Dub Mix),B2,4:09,Keith Thomas,Daniel Abraham,1991,75021 2382 1,A&M Records,850649
Amy Grant,Good For Me,"Good For Me (7"" Good For You Mix)",B3,4:02,Keith Thomas,Daniel Abraham,1991,75021 2382 1,A&M Records,850649
Ce Ce Peniston,Keep On Walkin',"Keep On Walkin' (Silky Soul 12"")",A1,6:25,"Steve ""Silk"" Hurley","Larry Sturm, Steve ""Silk"" Hurley, Steve ""Silk"" Hurley",1992,75021 2399 1,A&M Records,292147
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (Maurice Underground Vocal),A2,6:30,"Steve ""Silk"" Hurley","Larry Sturm, Maurice Joshua",1992,75021 2399 1,A&M Records,292147
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (E-Smoove Groovy Mix),A3,6:15,"Steve ""Silk"" Hurley","Larry Sturm, E-Smoove, Eric Miller",1992,75021 2399 1,A&M Records,292147
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (Hard Urban Mix W/Rap),B1,5:54,"Steve ""Silk"" Hurley","Aaron ""Freedom"" Lyles, Ike Lee",1992,75021 2399 1,A&M Records,292147
Ce Ce Peniston,Keep On Walkin',"Keep On Walkin' (Original Feel 12"")",B2,5:06,"Steve ""Silk"" Hurley","Aaron ""Freedom"" Lyles, Ike Lee",1992,75021 2399 1,A&M Records,292147
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (LP Edit),B3,4:00,"Steve ""Silk"" Hurley",,1992,75021 2399 1,A&M Records,292147
Ce Ce Peniston,We Got A Love Thang,We Got A Love Thang (Silky House Thang),A1,6:57,"Steve ""Silk"" Hurley","Steve ""Silk"" Hurley",1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,We Got A Love Thang,We Got A Love Thang (Silky Dub Thang),A2,4:23,"Steve ""Silk"" Hurley","Steve ""Silk"" Hurley",1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,We Got A Love Thang,"We Got A Love Thang (Silky 7"")",B1,4:30,"Steve ""Silk"" Hurley","Steve ""Silk"" Hurley",1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,We Got A Love Thang,We Got A Love Thang (LP Version),B2,5:27,"Steve ""Silk"" Hurley",,1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,We Got A Love Thang,"We Got A Love Thang (Maurice's 12"")",C1,7:14,"Steve ""Silk"" Hurley","Larry Sturm, Maurice Joshua",1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,We Got A Love Thang,We Got A Love Thang (Maurice's Dub),C2,7:19,"Steve ""Silk"" Hurley","Larry Sturm, Maurice Joshua",1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,We Got A Love Thang,We Got A Love Thang (E-Smoove Groovy Mix),D1,6:25,"Steve ""Silk"" Hurley","Eric Miller, E-Smoove",1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,We Got A Love Thang,We Got A Love Thang (E-Smoove Dub),D2,6:37,"Steve ""Silk"" Hurley","Eric Miller, E-Smoove",1992,75021 7328 1,A&M Records,397565
Ce Ce Peniston,Keep On Walkin',"Keep On Walkin' (Silky Soul 12"")",A1,6:25,"Steve ""Silk"" Hurley","Steve ""Silk"" Hurley",1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (LP Version),A2,4:30,,,1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (Silky Soul Dub),A3,5:51,"Steve ""Silk"" Hurley","Steve ""Silk"" Hurley",1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (Maurice Underground Vocal),B1,6:30,"Steve ""Silk"" Hurley",Maurice Joshua,1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (E-Smoove Groovy Mix),B2,6:15,"Steve ""Silk"" Hurley",E-Smoove,1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',"Keep On Walkin' (Hard Urban 12"" Mix W/Rap)",C1,5:54,"Steve ""Silk"" Hurley","Aaron ""Freedom"" Lyles; Ike Lee",1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',"Keep On Walkin' (Original Feel 12"")",C2,5:06,"Steve ""Silk"" Hurley","Aaron ""Freedom"" Lyles; Ike Lee",1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',"Keep On Walkin' (Mellow 12"")",C3,5:40,"Steve ""Silk"" Hurley","Aaron ""Freedom"" Lyles; Ike Lee",1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (Maurice Underground Dub),D1,6:50,"Steve ""Silk"" Hurley",Maurice Joshua,1992,75021 7382 1,A&M Records,6883800
Ce Ce Peniston,Keep On Walkin',Keep On Walkin' (E-Smoove Groovy Instrumental),D2,6:13,"Steve ""Silk"" Hurley",E-Smoove,1992,75021 7382 1,A&M Records,6883800
Janet Jackson,Control,Control (Extended Version),A,7:33,Jimmy Jam & Terry Lewis,Steve Hodge,1986,SP-12209,A&M Records,1960373
Janet Jackson,Control,Control (Dub Version),B1,5:55,Jimmy Jam & Terry Lewis,Steve Hodge,1986,SP-12209,A&M Records,1960373
Janet Jackson,Control,Control (A Cappella),B2,3:55,Jimmy Jam & Terry Lewis,Steve Hodge,1986,SP-12209,A&M Records,1960373
Janet Jackson,The Pleasure Principle,The Pleasure Principle (Long Vocal),A1,7:23,Monte Moir,Shep Pettibone,1987,SP-12230,A&M Records,109842
Janet Jackson,The Pleasure Principle,The Pleasure Principle (A Cappella),A2,4:23,Monte Moir,Shep Pettibone,1987,SP-12230,A&M Records,109842
Janet Jackson,The Pleasure Principle,"The Pleasure Principle (12"" Dub)",B1,6:58,Monte Moir,Shep Pettibone,1987,SP-12230,A&M Records,109842
Janet Jackson,The Pleasure Principle,"The Pleasure Principle (7"" Vocal)",B2,4:19,Monte Moir,Shep Pettibone,1987,SP-12230,A&M Records,109842
Ethel Merman,The Ethel Merman Disco Album,There's No Business Like Show Business,A1,5:45,,,1979,SP-4775,A&M Records,2684194
Ethel Merman,The Ethel Merman Disco Album,Everything's Coming Up Roses,A2,6:26,,,1979,SP-4775,A&M Records,2684194
Ethel Merman,The Ethel Merman Disco Album,I Get A Kick Out Of You,A3,5:59,,,1979,SP-4775,A&M Records,2684194
Ethel Merman,The Ethel Merman Disco Album,Something For The Boys,B1,5:15,,,1979,SP-4775,A&M Records,2684194
Ethel Merman,The Ethel Merman Disco Album,Some People,B2,4:47,,,1979,SP-4775,A&M Records,2684194
Ethel Merman,The Ethel Merman Disco Album,Alexander's Ragtime Band,B3,4:24,,,1979,SP-4775,A&M Records,2684194
Ethel Merman,The Ethel Merman Disco Album,I Got Rhythm,B4,5:04,,,1979,SP-4775,A&M Records,2684194
Ce Ce Peniston,Crazy Love,"Crazy Love (A.R. Mix 12"")",A1,5:36,Daniel Abraham,Daniel Abraham,1992,"AMY 0060, 580 060-1","A&M Records, A&M Records",156217
Ce Ce Peniston,Crazy Love,"Crazy Love (Kenlou 12"")",A2,7:39,"Kenny ""Dope"" Gonzalez; Louie Vega",Kenlou,1992,"AMY 0060, 580 060-1","A&M Records, A&M Records",156217
Ce Ce Peniston,Crazy Love,Crazy Love (LP Edit),B1,4:12,Daniel Abraham,,1992,"AMY 0060, 580 060-1","A&M Records, A&M Records",156217
Ce Ce Peniston,Crazy Love,Crazy Love (M.A.W. House Dub),B2,7:22,"Kenny ""Dope"" Gonzalez; Louie Vega",Masters At Work,1992,"AMY 0060, 580 060-1","A&M Records, A&M Records",156217
Ce Ce Peniston,Crazy Love,Crazy Love (Masters At Work Dub),B3,4:52,"Kenny ""Dope"" Gonzalez; Louie Vega",Masters At Work,1992,"AMY 0060, 580 060-1","A&M Records, A&M Records",156217
Janet Jackson,Rhythm Nation,"Rhythm Nation (12"" United Mix)",A1,6:35,Jimmy Jam & Terry Lewis,Shep Pettibone,1989,"SP-12335, SP 12335","A&M Records, A&M Records",109994
Janet Jackson,Rhythm Nation,Rhythm Nation (United Dub),A2,6:09,Jimmy Jam & Terry Lewis,Shep Pettibone,1989,"SP-12335, SP 12335","A&M Records, A&M Records",109994
Janet Jackson,Rhythm Nation,"Rhythm Nation (7"" Edit)",A3,4:28,Jimmy Jam & Terry Lewis,,1989,"SP-12335, SP 12335","A&M Records, A&M Records",109994
Janet Jackson,Rhythm Nation,"Rhythm Nation (12"" House Nation Mix)",B1,8:06,Jimmy Jam & Terry Lewis,Shep Pettibone,1989,"SP-12335, SP 12335","A&M Records, A&M Records",109994
Janet Jackson,Rhythm Nation,Rhythm Nation (House Nation Groove),B2,6:42,Jimmy Jam & Terry Lewis,Shep Pettibone,1989,"SP-12335, SP 12335","A&M Records, A&M Records",109994
Janet Jackson,Rhythm Nation,"Rhythm Nation (7"" Instrumental)",B3,4:44,Jimmy Jam & Terry Lewis,,1989,"SP-12335, SP 12335","A&M Records, A&M Records",109994
Janet Jackson,Alright,"Alright (12"" R&B Mix)",A1,7:20,Jimmy Jam & Terry Lewis,Shep Pettibone,1990,"SP-12351, SP 12351","A&M Records, A&M Records",184979
Janet Jackson,Alright,"Alright (7"" R&B Mix)",A2,4:34,Jimmy Jam & Terry Lewis,,1990,"SP-12351, SP 12351","A&M Records, A&M Records",184979
Janet Jackson,Alright,Alright (A Cappella),A3,3:26,Jimmy Jam & Terry Lewis,,1990,"SP-12351, SP 12351","A&M Records, A&M Records",184979
Janet Jackson,Alright,"Alright (12"" House Mix)",B1,8:30,Jimmy Jam & Terry Lewis,,1990,"SP-12351, SP 12351","A&M Records, A&M Records",184979
Janet Jackson,Alright,Alright (Hip House Dub),B2,6:40,Jimmy Jam & Terry Lewis,,1990,"SP-12351, SP 12351","A&M Records, A&M Records",184979
Janet Jackson,Alright,Alright (House Dub),B3,5:58,Jimmy Jam & Terry Lewis,,1990,"SP-12351, SP 12351","A&M Records, A&M Records",184979
Joi Cardwell,Run To You,Run To You (Phillip Damian's Extended Vocal Mix),A1,11:55,Phillip Damien,Phillip Damien,1997,12TV19,Activ,1403927
Joi Cardwell,Run To You,Run To You (Farley & Heller Vocal Mix),AA1,9:22,Phillip Damien,Heller & Farley,1997,12TV19,Activ,1403927
Joi Cardwell,Run To You,Run To You (Phat Manhattan's Phat Bass Mix),AA2,6:46,Phillip Damien,Phat Manhattan,1997,12TV19,Activ,1403927
Funky Green Dogs,Body (The Remixes),Body (M.A.S. Collective Ruff Mix),A,6:48,Ralph Falcón and Oscar Gaetan,M.A.S. Collective,1999,ARP 21045,Airplane! Records,190843
