release_id,position,track_title,duration,type,track_producer,track_remixer
101862,A1,Misled (Richie Jones Club Mix),7:22,track,,Richie Jones
101862,A2,Misled (MK History Mix),6:41,track,,Marc Kinchen
101862,A3,Misled (Album Version),3:30,track,,
101862,B1,Misled (MK's Redirect Mix),6:57,track,,Marc Kinchen
101862,B2,Misled (MK Dub),8:56,track,,Marc Kinchen
653277,1,Candy (Album Version),3:56,track,,
653277,2,"Candy (Hex Hector 12"" Mix)",9:52,track,,Hex Hector
653277,3,Candy (Richie Santana Club Mix),6:34,track,,Richie Santana
1363271,A1,It's All Coming Back To Me Now (Classic Paradise Mix),8:12,track,,Love To Infinity
1363271,A2,It's All Coming Back To Me Now (Amnesia Mix),7:37,track,,Love To Infinity
1363271,B,It's All Coming Back To Me Now (The Moran Anthem Mix),14:38,track,,Tony Moran
3884518,1,Tiny Little Bows,3:22,track,Cory Enemy; Dallas Austin; Colin Janz,
3884518,2,This Kiss,3:51,track,Matthew Koma; Red Foo,
3884518,3,Call Me Maybe,3:14,track,Josh Ramsay,
3884518,4,Curiosity,3:35,track,Mighty Mike; Ryan Stewart (2); Cory Enemy; Dallas Austin; Ryan Stewart (2),
3884518,5,Good Time,3:26,track,Ryan Stewart (2); Adam Young,
3884518,6,More Than A Memory,4:03,track,Matthew Koma,
3884518,7,Turn Me Up,3:46,track,Cory Enemy; Josh Abraham; Oligee,
3884518,8,Hurt So Good,3:11,track,Matthew Koma,
3884518,9,Beautiful,3:19,track,Toby Gad; Kuk Harrell,
3884518,10,Tonight I'm Getting Over You,3:40,track,Lukas Hilbert; Max Martin,
3884518,11,Guitar String / Wedding Ring,3:28,track,Josh Ramsay,
3884518,12,Your Heart Is A Muscle,3:50,track,Toby Gad,
3884518,13,Drive,3:00,track,Cory Enemy; Dallas Austin; Mighty Mike,
3884518,14,Wrong Feels So Right,4:18,track,Jordan Gatsby; Red Foo; GoonRock; Matthew Koma,
3884518,15,Sweetie,3:40,track,Matthew Koma; Klas Åhlund,
3884518,16,I Know You Have A Girlfriend,3:03,track,Matthew Koma,
594036,A1,Confide In Me (Bass Change Mix),6:25,track,,Phillip Damien
594036,A2,Convibe In Me (Dub),8:04,track,,Phillip Damien
594036,B1,Confide In Me (Damien's Confession Mix),7:21,track,,Phillip Damien
594036,B2,Confide In Me (In The Confessional Dub),6:38,track,,Phillip Damien
566586,1,Move In My Direction,,track,Mute8,
566586,2,Look On The Floor (Hypnotic Tango),,track,,
566586,3,Waterfall,,track,,
566586,4,Frequency,,track,Leigh Guest,
566586,5,Feel For You,,track,,
566586,6,Don’t Step On My Groove,,track,,
566586,7,Middle Of Nowhere,,track,,
566586,8,I Love The Way,,track,,
566586,9,Lovebite,,track,,
566586,10,Rules Of Attraction,,track,,
566586,11,Your Love Is Like A Drug,,track,,
566586,12,Venus (Marc Almonds Hi Nrg Showgirls Mix),,track,,Kinky Roland; Marc Almond
566586,13,Really Saying Something (Solasso Mix),,track,,Solasso
258578,A1,Ain't No Man (Lowmac Mix),,track,,CJ Mackintosh; Nigel Lowis
258578,A2,Ain't No Man (Master Mix),,track,,CJ Mackintosh
258578,B1,Ain't No Man (Mackmaster Mix),,track,,CJ Mackintosh
258578,B2,You'll Lose A Good Thing,,track,,Nigel Lowis
1124052,A,What I Need (Bad Yard Club),,track,,David Morales
1124052,AA1,Ghetto Day (Radio Mix),,track,,
1124052,AA2,What I Need (Basement Boys Remix),,track,,The Basement Boys
233121,A,What I Need (Bad Yard Club),,track,,David Morales
233121,B,What I Need  (Basement Boys Remix),,track,,The Basement Boys
233121,C1,What I Need  (Def Version),,track,,David Morales
233121,C2,"Ghetto Day (12"" Master)",,track,,The Basement Boys
233121,D1,What I Need (Hump),,track,,The Basement Boys
233121,D2,What I Need  (Original Version),,track,,
411066,1,Runaway,3:34,track,,
411066,2,What Have You Done For Me Lately,4:44,track,,
411066,3,Nasty,4:03,track,,
411066,4,When I Think Of You,3:55,track,,
411066,5,Escapade,4:44,track,,
411066,6,Miss You Much,4:12,track,,
